iso,Country,area_ha,population,Fa_tf_mean,Fa_tf_std,Fb_mean,Fb_std,Fc_mean,Fc_std,Fab_tf_mean,Fab_tf_std,Fabc_tf_mean,Fabc_tf_std
SRB,Republic of Serbia,7762866.167841438,6899126.0,-1.8379623829026227e-10,1.2948866800823762e-10,-3.1359478437033436e-10,1.9620621942448392e-10,1.545943967795456e-09,2.2346430280649406e-25,-4.973910192986554e-10,2.44961408748383e-10,1.0485529484968006e-09,2.449614087483959e-10
SSD,South Sudan,,10698467.0,,,,,,,,,,
STP,São Tomé and Principe,103715.6129753919,217435.0,0.0,0.0,1.0486738387768665e-10,1.149614659274411e-10,3.776888581245251e-10,6.533503860833542e-26,1.0486738387768665e-10,1.1501898980691147e-10,4.825562420022118e-10,1.1501898980691152e-10
SUR,Suriname,14512345.952689644,612317.0,-7.743909245711693e-10,3.6357425720147714e-10,4.953087401191532e-11,1.3960183092124541e-11,5.4406685270348404e-11,7.470895305417963e-27,-7.248600993646231e-10,3.6940578461078723e-10,-6.704534140942677e-10,3.6940578461078723e-10
SVK,Slovakia,4845791.5003846865,5458827.0,-2.7585576059017026e-10,1.8480287480980327e-10,2.3965848322359856e-10,5.611895913150861e-10,1.931293522807896e-09,3.5798557899965256e-25,-3.619729448864554e-11,6.7149614226982e-10,1.8950962283192295e-09,6.7149614226982e-10
SVN,Slovenia,2032701.0494352789,2102419.0,-3.8377997601601507e-10,3.146979730136493e-10,3.849118419146622e-10,3.1221240264263794e-10,1.860739938604695e-09,2.1335201706846477e-25,1.1318770288977588e-12,5.555308448236497e-10,1.8618718156336065e-09,5.555308448236497e-10
SWE,Sweden,44617274.209950745,10353442.0,-2.738836743476959e-10,1.3545182907323715e-10,5.71981123497418e-11,6.340394046580021e-11,2.5302979288795873e-10,3.8880086394652977e-26,-2.166855650351432e-10,1.5382936010652984e-10,3.634422785281329e-11,1.5382936010652984e-10
SWZ,eSwatini,1711192.6326874276,1192729.0,-2.2838225371870566e-10,2.48495021470603e-10,-1.4498250241433662e-11,4.582670325812627e-11,1.68619454537066e-10,3.1679723012328697e-26,-2.428805044118711e-10,2.328824812002873e-10,-7.426104987480503e-11,2.328824812002873e-10
SXM,Sint Maarten (Dutch part),2335.8045434495393,41008.0,,,,,8.133693553383754e-08,1.1604161995553188e-23,,,,
SYC,Seychelles,43566.40002924463,98462.0,,,0.0,0.0,3.4357238566148114e-09,6.221550161120248e-25,,,,
