iso,Country,area_ha,population,Fa_tf_mean,Fa_tf_std,Fb_mean,Fb_std,Fc_mean,Fc_std,Fab_tf_mean,Fab_tf_std,Fabc_tf_mean,Fabc_tf_std
PRI,Puerto Rico,900595.5954709639,3281557.0,-1.0473807403010218e-10,1.2616121554493797e-10,,,,,,,,
PRK,North Korea,12237934.473756311,26136312.0,-1.5792900314321316e-10,8.11661300951718e-11,-8.75362832368622e-12,4.2634506594912855e-11,4.2304669846944743e-10,0.0,-1.66682627561291e-10,9.307202203057187e-11,2.563640709081526e-10,9.307202203057187e-11
PRT,Portugal,9139015.27440037,10297081.0,-8.863860544556268e-11,8.525124061857919e-11,-1.1597743088551017e-11,8.543959538375973e-11,1.2601360168477359e-09,3.3693499662220915e-25,-1.0023634799806858e-10,1.4861593743534697e-10,1.1598996688496576e-09,1.4861593743534697e-10
PRY,Paraguay,39990128.24518427,6603739.0,-1.4808123095113237e-09,1.1168513776816436e-09,2.1994291724733366e-09,1.0250314128828533e-09,2.985630029980743e-10,0.0,7.186167175444699e-10,1.748399803465355e-09,1.0171797205425442e-09,1.748399803465355e-09
PSE,Palestine,,4803269.0,0.0,0.0,4.57152493437282e-12,4.1394460165177675e-12,1.795676924014874e-10,2.2572172670019198e-26,4.57152493437282e-12,4.141517293112993e-12,1.8413921733586023e-10,4.141517293112996e-12
PYF,French Polynesia,333650.2761415775,279209.0,0.0,0.0,,,8.49885159129541e-10,2.912340323428429e-25,,,,
QAT,Qatar,1115013.9815298803,2794148.0,0.0,0.0,1.4775845803443486e-12,8.748187289270722e-13,9.226539525405097e-09,2.483366630510348e-24,1.4775845803443486e-12,8.752564666221793e-13,9.228017109985442e-09,8.752564666221051e-13
ROU,Romania,23637705.268093046,19265250.0,-1.6698688052322187e-10,1.5759945497722584e-10,-1.183358118892825e-10,7.363132845409739e-11,1.0923097664654183e-09,0.0,-2.853227049643114e-10,1.8733629797842748e-10,8.069870615011068e-10,1.8733629797842748e-10
RUS,Russia,1698018952.8449447,145245148.0,-2.0078467612563553e-09,8.677583501791055e-10,4.122760493865172e-10,5.062383225422374e-10,3.153965182678801e-09,3.8218936739461913e-25,-1.5955708386421755e-09,1.2067831591194998e-09,1.5583943440366248e-09,1.2067831591194998e-09
RWA,Rwanda,2530505.1956847543,13065837.0,-4.373405622617212e-11,3.55786445215871e-11,2.6842622175678453e-11,2.3779859649825726e-11,2.5205328640285348e-11,0.0,-1.6891430990590192e-11,4.6811354321946615e-11,8.313897649687501e-12,4.6811354321946615e-11
SAU,Saudi Arabia,192172508.50716093,31552510.0,0.0,0.0,1.6545477047626323e-12,1.4548996976294437e-11,5.601180865410371e-09,2.638989001093312e-24,1.6545477047626323e-12,1.4556276935207375e-11,5.602835413115131e-09,1.4556276935207375e-11
